station_name,station_id,imageset_id,image_id,timestamp,filename,url
West Brook Reservoir_01171020,16,135,225874,2021-03-27T01:14:59Z,West Brook Reservior__2021-03-26__20-14-59(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-26__20-14-59(1).JPG
West Brook Reservoir_01171020,16,135,225902,2021-03-27T09:15:00Z,West Brook Reservior__2021-03-27__04-15-00(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-27__04-15-00(1).JPG
West Brook Reservoir_01171020,16,135,225788,2021-03-26T01:45:00Z,West Brook Reservior__2021-03-25__20-45-00(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-25__20-45-00(1).JPG
West Brook Reservoir_01171020,16,135,225790,2021-03-26T02:15:00Z,West Brook Reservior__2021-03-25__21-15-00(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-25__21-15-00(1).JPG
West Brook Reservoir_01171020,16,135,225791,2021-03-26T02:30:00Z,West Brook Reservior__2021-03-25__21-30-00(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-25__21-30-00(1).JPG
West Brook Reservoir_01171020,16,135,225794,2021-03-26T03:15:00Z,West Brook Reservior__2021-03-25__22-15-00(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-25__22-15-00(1).JPG
West Brook Reservoir_01171020,16,135,225796,2021-03-26T03:45:00Z,West Brook Reservior__2021-03-25__22-45-00(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-25__22-45-00(1).JPG
West Brook Reservoir_01171020,16,135,225798,2021-03-26T05:15:00Z,West Brook Reservior__2021-03-26__00-15-00(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-26__00-15-00(1).JPG
West Brook Reservoir_01171020,16,135,225800,2021-03-26T05:44:59Z,West Brook Reservior__2021-03-26__00-44-59(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-26__00-44-59(1).JPG
West Brook Reservoir_01171020,16,135,225801,2021-03-26T05:59:59Z,West Brook Reservior__2021-03-26__00-59-59(1).JPG,https://usgs-chs-conte-prod-fpe-storage.s3.amazonaws.com/imagesets/5cc8f970-ae2f-4cdb-977e-1865bbc44503/images/West Brook Reservior__2021-03-26__00-59-59(1).JPG
